Product Number;Iteration 1;Iteration 2;Iteration 3;Iteration 4;Iteration 5;Iteration 6;Iteration 7;Iteration 8;Iteration 9;Iteration 10
1;0;0;0;0;0;0;0;1;0;0
2;1;1;1;1;1;1;1;1;1;1
3;0;0;0;0;0;0;0;0;0;0
4;0;0;0;0;0;0;0;0;0;0
5;0;0;1;0;1;1;0;1;1;0
6;0;0;0;0;0;0;0;0;0;0
7;0;0;0;0;0;0;0;0;0;0
8;0;0;0;0;0;0;0;0;0;0
9;1;1;1;1;1;1;1;1;1;1
10;1;1;1;1;1;1;1;1;1;1
11;1;1;1;1;1;1;1;1;1;1
12;1;1;1;1;1;1;1;1;1;1
13;1;1;1;1;1;1;1;1;1;1
14;1;1;1;1;1;1;1;1;1;1
15;1;1;1;1;1;1;1;1;1;1
16;1;1;1;1;1;1;1;1;1;1
17;1;1;1;1;1;1;1;1;1;1
18;1;1;1;1;1;1;1;1;1;1
19;0;0;1;0;1;0;0;0;0;0
20;1;1;1;1;1;1;1;1;1;1
