Product Number;Iteration 1;Iteration 2;Iteration 3;Iteration 4;Iteration 5;Iteration 6;Iteration 7;Iteration 8;Iteration 9;Iteration 10
1;0;0;0;0;0;0;0;0;0;0
2;1;1;1;1;1;1;1;1;1;1
3;0;1;0;0;0;1;1;1;1;1
4;1;1;1;1;1;1;1;1;1;1
5;0;1;1;0;0;1;1;1;1;0
6;1;1;1;1;1;1;1;1;1;1
7;1;1;1;1;1;1;1;1;1;1
8;1;1;1;1;1;1;1;1;1;1
9;1;1;1;1;1;1;1;1;1;1
10;0;0;0;0;0;0;0;0;0;0
11;1;1;1;1;1;1;1;1;1;1
12;1;1;1;1;1;1;1;1;0;1
13;1;1;1;1;1;1;1;1;1;1
14;1;1;1;1;1;1;1;1;1;1
15;0;0;0;0;1;0;0;0;0;0
16;1;1;1;1;1;1;1;1;1;1
17;1;1;1;1;1;1;1;1;1;1
18;1;1;1;1;1;1;1;1;1;1
19;1;1;0;1;1;1;1;0;0;0
20;1;1;1;1;1;1;1;1;1;1
